Name,AF (mT),x (emu),y (emu),z (emu)
687,30,3.18E-06,1.09E-06,1.88E-05
687,35,3.00E-06,1.19E-06,1.59E-05
687,40,2.83E-06,1.28E-06,1.41E-05
687,45,2.06E-06,1.38E-06,1.24E-05
687,50,1.28E-06,1.20E-06,1.07E-05
687,60,5.10E-07,1.03E-06,9.10E-06
687,70,-2.83E-07,8.52E-07,7.47E-06
687,80,-1.08E-06,7.44E-07,5.84E-06
687,90,-1.87E-06,6.36E-07,4.81E-06
687,100,1.97E-06,5.28E-07,3.79E-06
689,0,4.80E-06,-4.25E-06,7.10E-05
689,2.5,4.71E-06,-4.06E-06,5.86E-05
689,5,4.22E-06,-5.44E-06,4.51E-05
689,7.5,4.09E-06,-5.64E-06,3.73E-05
689,10,4.04E-06,-3.73E-06,3.11E-05
689,12.5,4.42E-06,-4.64E-06,2.77E-05
689,15,4.42E-06,-4.03E-06,2.42E-05
689,17.5,3.62E-06,-2.87E-06,2.19E-05
689,20,3.55E-06,-2.05E-06,2.01E-05
689,25,2.76E-06,-1.77E-06,1.75E-05
689,30,2.30E-06,-1.49E-06,1.48E-05
689,35,1.84E-06,-1.38E-06,1.21E-05
689,40,1.37E-06,-1.26E-06,1.04E-05
689,45,7.28E-07,-1.14E-06,8.65E-06
689,50,8.09E-08,-6.86E-07,6.90E-06
689,60,-5.66E-07,-2.30E-07,5.94E-06
689,70,-7.23E-07,2.27E-07,4.97E-06
689,80,-8.80E-07,7.27E-08,4.00E-06
689,90,-1.04E-06,-8.13E-08,2.64E-06
689,100,1.87E-06,-2.35E-07,1.28E-06
690,0,2.76E-07,-3.41E-06,6.64E-05
690,2.5,7.88E-07,1.05E-07,5.37E-05
690,5,1.55E-06,-1.51E-06,4.09E-05
690,7.5,1.81E-06,-1.41E-06,3.39E-05
690,10,1.49E-06,-1.67E-07,2.83E-05
690,12.5,1.72E-06,-1.30E-06,2.53E-05
690,15,1.65E-06,-6.04E-07,2.23E-05
690,17.5,5.06E-07,-1.24E-06,2.04E-05
690,20,1.10E-06,3.64E-07,1.83E-05
690,25,-8.32E-09,1.05E-07,1.60E-05
690,30,-4.92E-07,-1.55E-07,1.37E-05
690,35,-9.76E-07,1.67E-07,1.14E-05
690,40,-1.46E-06,4.89E-07,1.03E-05
690,45,-1.53E-06,8.10E-07,9.23E-06
690,50,-1.60E-06,4.27E-07,8.16E-06
690,60,-1.67E-06,4.45E-08,7.17E-06
690,70,-1.89E-06,-3.39E-07,6.17E-06
690,80,-2.11E-06,-3.48E-07,5.18E-06
690,90,-2.33E-06,-3.57E-07,4.15E-06
690,100,2.43E-06,-3.66E-07,3.12E-06
692,0,-1.77E-06,4.15E-06,3.51E-05
692,2.5,-1.46E-06,4.80E-06,3.03E-05
692,5,-1.03E-06,3.39E-06,2.52E-05
692,7.5,-4.74E-07,3.14E-06,2.09E-05
692,10,-3.62E-07,2.73E-06,1.77E-05
692,12.5,-4.68E-07,3.66E-06,1.54E-05
692,15,-3.07E-07,2.14E-06,1.37E-05
692,17.5,-9.56E-07,2.39E-06,1.21E-05
692,20,-4.61E-07,3.10E-06,1.07E-05
692,25,-1.22E-06,2.38E-06,9.18E-06
692,30,-1.01E-06,1.65E-06,7.65E-06
692,35,-7.98E-07,1.28E-06,6.12E-06
692,40,-5.86E-07,9.06E-07,5.05E-06
692,45,-9.84E-07,5.33E-07,3.97E-06
692,50,-1.38E-06,4.15E-07,2.90E-06
692,60,-1.78E-06,2.96E-07,2.41E-06
692,70,-1.68E-06,1.77E-07,1.92E-06
692,80,-1.57E-06,1.92E-10,1.43E-06
692,90,-1.47E-06,-1.77E-07,3.86E-07
692,100,1.36E-08,-3.54E-07,-6.57E-07
693,0,1.21E-06,-2.90E-07,2.47E-05
693,2.5,1.41E-06,-3.71E-07,2.06E-05
693,5,1.48E-06,3.08E-07,1.70E-05
693,7.5,1.72E-06,-6.31E-07,1.40E-05
693,10,1.28E-06,-2.40E-07,1.16E-05
693,12.5,1.43E-06,1.27E-07,9.98E-06
693,15,1.31E-06,-4.68E-07,8.61E-06
693,17.5,5.62E-07,-4.10E-07,7.37E-06
693,20,5.22E-07,9.41E-08,7.03E-06
693,25,7.09E-07,1.99E-07,5.89E-06
693,30,6.05E-07,3.04E-07,4.74E-06
693,35,5.01E-07,2.47E-07,3.59E-06
693,40,3.96E-07,1.90E-07,3.40E-06
693,45,6.60E-08,1.32E-07,3.20E-06
693,50,-2.64E-07,2.65E-07,3.00E-06
693,60,-5.95E-07,3.97E-07,2.78E-06
693,70,-7.47E-07,5.29E-07,2.56E-06
693,80,-9.00E-07,5.68E-07,2.34E-06
693,90,-1.05E-06,6.08E-07,6.16E-07
693,100,3.23E-07,6.47E-07,-1.11E-06
695,0,2.96E-07,6.26E-07,2.76E-05
695,2.5,3.73E-07,1.38E-06,2.39E-05
695,5,8.85E-07,5.29E-07,1.98E-05
695,7.5,7.35E-07,9.25E-07,1.64E-05
695,10,2.41E-07,1.16E-06,1.34E-05
695,12.5,1.72E-07,9.94E-07,1.16E-05
695,15,2.04E-07,9.04E-07,9.81E-06
695,17.5,4.11E-08,3.70E-07,9.03E-06
695,20,1.98E-07,1.20E-06,7.81E-06
695,25,4.61E-08,9.39E-07,6.40E-06
695,30,-1.67E-07,6.76E-07,4.99E-06
695,35,-3.79E-07,6.85E-07,3.58E-06
695,40,-5.92E-07,6.95E-07,3.28E-06
695,45,-3.84E-07,7.05E-07,2.98E-06
695,50,-1.75E-07,8.37E-07,2.68E-06
695,60,3.35E-08,9.69E-07,2.36E-06
695,70,-4.10E-07,1.10E-06,2.04E-06
695,80,-8.54E-07,1.07E-06,1.72E-06
695,90,-1.30E-06,1.05E-06,1.38E-06
695,100,-6.41E-08,1.02E-06,1.03E-06
696,0,-1.23E-06,-8.05E-07,2.75E-05
696,2.5,-1.03E-06,-6.10E-07,2.36E-05
696,5,-6.90E-07,-6.36E-07,1.97E-05
696,7.5,-5.07E-07,-6.24E-07,1.72E-05
696,10,-4.78E-07,-6.13E-07,1.45E-05
696,12.5,-5.62E-07,-1.42E-07,1.25E-05
696,15,-9.34E-07,-1.04E-06,1.10E-05
696,17.5,-1.32E-06,-4.48E-07,9.91E-06
696,20,-1.29E-06,-7.89E-07,9.03E-06
696,25,-1.31E-06,-8.15E-07,7.58E-06
696,30,-1.37E-06,-8.41E-07,6.14E-06
696,35,-1.43E-06,-7.97E-07,4.69E-06
696,40,-1.49E-06,-7.53E-07,3.87E-06
696,45,-1.50E-06,-7.09E-07,3.04E-06
696,50,-1.52E-06,-8.04E-07,2.21E-06
696,60,-1.53E-06,-8.99E-07,2.16E-06
696,70,-1.39E-06,-9.93E-07,2.11E-06
696,80,-1.25E-06,-5.48E-07,2.06E-06
696,90,-1.10E-06,-1.04E-07,1.62E-06
696,100,2.93E-07,3.41E-07,1.19E-06
698,0,1.10E-06,8.41E-08,2.83E-05
698,2.5,1.04E-06,5.03E-08,2.49E-05
698,5,1.05E-06,1.53E-07,2.06E-05
698,7.5,1.19E-06,1.32E-09,1.74E-05
698,10,1.65E-06,4.03E-07,1.48E-05
698,12.5,1.71E-06,9.95E-08,1.29E-05
698,15,1.64E-06,3.91E-07,1.15E-05
698,17.5,1.30E-06,5.77E-09,1.03E-05
698,20,1.76E-06,-1.14E-07,9.44E-06
698,25,1.58E-06,-1.33E-07,8.14E-06
698,30,9.18E-07,-1.51E-07,6.85E-06
698,35,2.58E-07,-8.84E-09,5.56E-06
698,40,-4.03E-07,1.33E-07,4.86E-06
698,45,-3.48E-07,2.75E-07,4.15E-06
698,50,-2.94E-07,4.21E-07,3.45E-06
698,60,-2.39E-07,5.67E-07,3.07E-06
698,70,-8.84E-08,7.12E-07,2.68E-06
698,80,6.24E-08,7.44E-07,2.30E-06
698,90,2.13E-07,7.75E-07,1.88E-06
698,100,1.28E-06,8.06E-07,1.47E-06
699,0,-6.91E-06,5.14E-06,4.67E-05
699,2.5,-9.06E-07,2.78E-07,3.98E-05
699,5,1.84E-08,-2.70E-07,3.18E-05
699,7.5,8.41E-07,1.19E-07,2.65E-05
699,10,5.56E-07,-6.62E-07,2.17E-05
699,12.5,1.37E-06,-1.50E-07,1.82E-05
699,15,8.83E-07,5.03E-07,1.51E-05
699,17.5,3.97E-07,1.47E-07,1.33E-05
699,20,1.14E-06,7.89E-08,1.21E-05
699,25,3.24E-07,1.12E-07,9.91E-06
699,30,2.25E-08,1.45E-07,7.73E-06
699,35,-2.79E-07,9.25E-08,5.55E-06
699,40,-5.81E-07,3.99E-08,5.31E-06
699,45,-4.51E-07,-1.26E-08,5.08E-06
699,50,-3.22E-07,-3.62E-07,4.84E-06
699,60,-1.92E-07,-7.11E-07,4.10E-06
699,70,-1.16E-07,-1.06E-06,3.36E-06
699,80,-4.06E-08,-6.98E-07,2.61E-06
699,90,3.49E-08,-3.37E-07,1.92E-06
699,100,-4.40E-07,2.50E-08,1.22E-06
701,0,2.62E-06,1.45E-06,4.50E-05
701,2.5,2.91E-06,9.34E-07,3.63E-05
701,5,2.98E-06,9.65E-07,2.85E-05
701,7.5,2.49E-06,-5.61E-07,2.28E-05
701,10,1.76E-06,-4.20E-07,1.82E-05
701,12.5,2.13E-06,-2.14E-07,1.48E-05
701,15,1.26E-06,5.45E-08,1.26E-05
701,17.5,7.64E-07,-1.02E-06,1.16E-05
701,20,9.32E-07,-8.66E-07,9.52E-06
701,25,6.34E-07,-5.26E-07,8.36E-06
701,30,4.84E-07,-1.86E-07,7.19E-06
701,35,3.35E-07,9.41E-08,6.03E-06
701,40,1.86E-07,3.74E-07,5.04E-06
701,45,2.72E-08,6.54E-07,4.05E-06
701,50,-1.31E-07,5.70E-07,3.07E-06
701,60,-2.90E-07,4.85E-07,3.40E-06
701,70,-7.62E-07,4.00E-07,3.73E-06
701,80,-1.24E-06,6.39E-07,4.06E-06
701,90,-1.71E-06,8.78E-07,3.06E-06
701,100,-1.44E-06,1.12E-06,2.06E-06
702,0,-1.15E-05,-7.38E-07,5.91E-05
702,2.5,-9.79E-06,9.71E-07,4.95E-05
702,5,-7.62E-06,7.84E-07,4.04E-05
702,7.5,-6.62E-06,2.29E-06,3.33E-05
702,10,-5.65E-06,2.48E-07,2.66E-05
702,12.5,-4.58E-06,1.00E-06,2.24E-05
702,15,-3.64E-06,5.94E-08,1.95E-05
702,17.5,-4.85E-06,-4.22E-07,1.70E-05
702,20,-2.89E-06,6.06E-07,1.41E-05
702,25,-2.71E-06,1.16E-06,1.12E-05
702,30,-1.71E-06,1.71E-06,8.23E-06
702,35,-7.04E-07,1.87E-06,5.31E-06
702,40,3.00E-07,2.03E-06,4.20E-06
702,45,-4.21E-07,2.19E-06,3.09E-06
702,50,-1.14E-06,1.75E-06,1.98E-06
702,60,-1.86E-06,1.31E-06,1.55E-06
702,70,-2.05E-06,8.71E-07,1.13E-06
702,80,-2.23E-06,1.06E-06,6.96E-07
702,90,-2.42E-06,1.24E-06,1.42E-06
702,100,-1.65E-06,1.42E-06,2.14E-06
704,0,-4.63E-06,7.03E-07,4.63E-05
704,2.5,-4.74E-06,-9.88E-07,4.04E-05
704,5,-4.04E-06,-5.19E-07,3.32E-05
704,7.5,-3.13E-06,3.33E-07,2.75E-05
704,10,-3.02E-06,-4.77E-07,2.27E-05
704,12.5,-2.74E-06,-4.71E-07,1.99E-05
704,15,-1.88E-06,-3.35E-07,1.72E-05
704,17.5,-1.99E-06,2.62E-07,1.53E-05
704,20,-1.48E-06,4.52E-07,1.39E-05
704,25,-6.34E-07,3.02E-07,1.13E-05
704,30,-3.80E-07,1.53E-07,8.63E-06
704,35,-1.26E-07,2.53E-07,6.01E-06
704,40,1.27E-07,3.53E-07,5.24E-06
704,45,1.97E-07,4.54E-07,4.47E-06
704,50,2.67E-07,4.55E-07,3.71E-06
704,60,3.38E-07,4.57E-07,3.42E-06
704,70,2.38E-08,4.58E-07,3.13E-06
704,80,-2.90E-07,3.34E-07,2.84E-06
704,90,-6.04E-07,2.10E-07,2.06E-06
704,100,6.12E-07,8.66E-08,1.27E-06
705,0,-7.05E-06,3.03E-06,4.88E-05
705,2.5,-6.86E-06,3.05E-06,4.14E-05
705,5,-5.83E-06,2.52E-06,3.34E-05
705,7.5,-4.78E-06,1.13E-06,2.72E-05
705,10,-5.30E-06,1.42E-06,2.10E-05
705,12.5,-4.83E-06,1.87E-07,1.85E-05
705,15,-5.38E-06,6.16E-07,1.52E-05
705,17.5,-4.72E-06,4.10E-07,1.28E-05
705,20,-3.63E-06,7.00E-07,1.28E-05
705,25,-4.66E-06,-3.20E-07,9.83E-06
705,30,-4.28E-06,-1.34E-06,6.88E-06
705,35,-3.90E-06,-1.11E-06,3.92E-06
705,40,-3.52E-06,-8.77E-07,3.53E-06
705,45,-3.72E-06,-6.46E-07,3.13E-06
705,50,-3.92E-06,-7.22E-07,2.74E-06
705,60,-4.12E-06,-7.99E-07,2.12E-06
705,70,-3.69E-06,-8.75E-07,1.51E-06
705,80,-3.27E-06,-1.26E-06,8.91E-07
705,90,-2.84E-06,-1.64E-06,-1.70E-07
705,100,1.36E-07,-2.02E-06,-1.23E-06
707,0,1.46E-06,4.94E-06,7.67E-05
707,2.5,1.67E-06,7.37E-06,6.78E-05
707,5,1.32E-06,4.30E-06,5.85E-05
707,7.5,1.22E-06,4.92E-06,5.06E-05
707,10,1.51E-06,5.74E-06,4.38E-05
707,12.5,1.40E-06,3.07E-06,3.87E-05
707,15,1.61E-06,3.27E-06,3.45E-05
707,17.5,9.36E-08,2.57E-06,3.14E-05
707,20,1.47E-06,4.34E-06,2.86E-05
707,25,3.39E-07,3.39E-06,2.49E-05
707,30,3.30E-07,2.44E-06,2.13E-05
707,35,3.21E-07,2.24E-06,1.77E-05
707,40,3.12E-07,2.04E-06,1.60E-05
707,45,5.88E-07,1.85E-06,1.42E-05
707,50,8.65E-07,1.37E-06,1.25E-05
707,60,1.14E-06,8.91E-07,1.02E-05
707,70,8.90E-07,4.14E-07,7.95E-06
707,80,6.39E-07,3.96E-07,5.67E-06
707,90,3.88E-07,3.78E-07,4.45E-06
707,100,2.73E-06,3.61E-07,3.23E-06
708,0,1.82E-06,-2.47E-07,6.16E-05
708,2.5,1.79E-06,2.63E-06,5.44E-05
708,5,1.56E-06,8.52E-07,4.64E-05
708,7.5,1.52E-06,1.09E-06,3.92E-05
708,10,1.04E-06,1.65E-07,3.28E-05
708,12.5,1.08E-06,2.19E-06,2.87E-05
708,15,1.36E-06,9.91E-07,2.49E-05
708,17.5,1.12E-06,1.49E-06,2.14E-05
708,20,1.39E-06,2.57E-06,1.95E-05
708,25,6.22E-07,1.74E-06,1.66E-05
708,30,1.47E-07,9.05E-07,1.37E-05
708,35,-3.28E-07,1.04E-06,1.07E-05
708,40,-8.03E-07,1.18E-06,9.27E-06
708,45,-8.54E-07,1.32E-06,7.80E-06
708,50,-9.06E-07,9.78E-07,6.33E-06
708,60,-9.57E-07,6.39E-07,5.29E-06
708,70,-1.07E-06,3.01E-07,4.25E-06
708,80,-1.18E-06,3.70E-07,3.22E-06
708,90,-1.30E-06,4.39E-07,2.84E-06
708,100,1.76E-07,5.08E-07,2.46E-06
710,0,-3.34E-06,1.39E-06,4.93E-05
710,2.5,-3.17E-06,1.33E-06,4.33E-05
710,5,-2.79E-06,1.34E-06,3.59E-05
710,7.5,-2.38E-06,2.16E-07,2.96E-05
710,10,-2.47E-06,1.29E-06,2.47E-05
710,12.5,-2.05E-06,8.03E-07,2.15E-05
710,15,-2.09E-06,1.68E-07,1.85E-05
710,17.5,-2.47E-06,5.31E-07,1.61E-05
710,20,-1.24E-06,4.70E-07,1.40E-05
710,25,-7.27E-07,-4.61E-08,1.21E-05
710,30,-1.05E-06,-5.62E-07,1.01E-05
710,35,-1.37E-06,-7.48E-07,8.20E-06
710,40,-1.69E-06,-9.34E-07,7.04E-06
710,45,-1.85E-06,-1.12E-06,5.88E-06
710,50,-2.01E-06,-1.22E-06,4.72E-06
710,60,-2.17E-06,-1.31E-06,4.08E-06
710,70,-1.84E-06,-1.41E-06,3.44E-06
710,80,-1.50E-06,-1.22E-06,2.80E-06
710,90,-1.17E-06,-1.03E-06,2.59E-06
710,100,-1.31E-06,-8.48E-07,2.39E-06
711,0,2.08E-06,-7.43E-08,4.90E-05
711,2.5,2.27E-06,2.24E-06,4.22E-05
711,5,2.30E-06,1.75E-07,3.43E-05
711,7.5,2.52E-06,7.35E-07,2.86E-05
711,10,2.24E-06,1.03E-06,2.34E-05
711,12.5,1.92E-06,3.12E-07,2.06E-05
711,15,1.88E-06,-1.37E-07,1.77E-05
711,17.5,1.46E-06,-2.44E-07,1.46E-05
711,20,1.86E-06,-1.57E-07,1.33E-05
711,25,2.48E-06,-5.94E-07,1.14E-05
711,30,1.72E-06,-1.03E-06,9.45E-06
711,35,9.54E-07,-1.03E-06,7.55E-06
711,40,1.93E-07,-1.03E-06,6.60E-06
711,45,-3.34E-07,-1.02E-06,5.66E-06
711,50,-8.61E-07,-9.29E-07,4.71E-06
711,60,-1.39E-06,-8.34E-07,3.94E-06
711,70,-9.00E-07,-7.39E-07,3.17E-06
711,80,-4.12E-07,-5.46E-07,2.39E-06
711,90,7.62E-08,-3.53E-07,2.35E-06
711,100,1.13E-06,-1.60E-07,2.30E-06
713,0,-2.04E-06,1.06E-06,4.44E-05
713,2.5,-2.01E-06,2.73E-06,3.75E-05
713,5,-1.71E-06,1.03E-06,3.04E-05
713,7.5,-1.67E-06,7.96E-07,2.51E-05
713,10,-1.42E-06,6.78E-07,2.04E-05
713,12.5,-1.39E-06,1.37E-06,1.77E-05
713,15,-1.47E-06,1.25E-06,1.52E-05
713,17.5,-1.43E-06,1.97E-07,1.28E-05
713,20,-9.31E-07,7.11E-07,1.18E-05
713,25,-1.25E-06,5.18E-07,9.90E-06
713,30,-1.33E-06,3.26E-07,8.01E-06
713,35,-1.41E-06,4.47E-07,6.12E-06
713,40,-1.48E-06,5.69E-07,5.23E-06
713,45,-1.46E-06,6.91E-07,4.34E-06
713,50,-1.43E-06,4.27E-07,3.45E-06
713,60,-1.41E-06,1.64E-07,2.60E-06
713,70,-1.25E-06,-1.00E-07,1.76E-06
713,80,-1.09E-06,3.73E-07,9.17E-07
713,90,-9.29E-07,8.46E-07,8.36E-07
713,100,-2.89E-07,1.32E-06,7.55E-07
714,0,1.03E-06,3.60E-06,4.70E-05
714,2.5,9.10E-07,1.93E-06,4.13E-05
714,5,9.44E-07,1.93E-06,3.41E-05
714,7.5,6.33E-07,3.24E-06,2.82E-05
714,10,3.25E-07,2.10E-06,2.39E-05
714,12.5,4.21E-07,1.71E-06,2.07E-05
714,15,6.54E-07,1.66E-06,1.75E-05
714,17.5,3.73E-07,1.52E-06,1.56E-05
714,20,9.69E-07,6.82E-07,1.45E-05
714,25,1.44E-09,4.37E-07,1.20E-05
714,30,-1.13E-07,1.93E-07,9.51E-06
714,35,-2.28E-07,7.27E-07,7.03E-06
714,40,-3.43E-07,1.26E-06,6.33E-06
714,45,-4.73E-07,1.79E-06,5.63E-06
714,50,-6.03E-07,1.58E-06,4.93E-06
714,60,-7.32E-07,1.37E-06,3.79E-06
714,70,-1.02E-06,1.16E-06,2.65E-06
714,80,-1.30E-06,9.47E-07,1.50E-06
714,90,-1.58E-06,7.35E-07,1.00E-06
714,100,1.69E-06,5.22E-07,4.97E-07
716,0,-5.78E-06,5.48E-06,9.44E-05
716,2.5,-4.94E-06,1.69E-06,8.19E-05
716,5,-3.46E-06,2.48E-06,6.69E-05
716,7.5,-3.25E-06,1.58E-06,5.52E-05
716,10,-3.91E-06,4.03E-06,4.43E-05
716,12.5,-2.64E-06,1.37E-06,3.76E-05
716,15,-2.31E-06,1.64E-06,3.25E-05
716,17.5,-3.70E-06,2.39E-06,2.81E-05
716,20,-2.02E-06,2.26E-06,2.46E-05
716,25,-1.64E-06,1.60E-06,2.01E-05
716,30,-1.61E-06,9.28E-07,1.56E-05
716,35,-1.58E-06,7.00E-07,1.11E-05
716,40,-1.55E-06,4.72E-07,9.46E-06
716,45,-1.81E-06,2.44E-07,7.77E-06
716,50,-2.08E-06,4.61E-07,6.09E-06
716,60,-2.35E-06,6.77E-07,5.06E-06
716,70,-1.49E-06,8.93E-07,4.03E-06
716,80,-6.41E-07,6.60E-07,3.01E-06
716,90,2.11E-07,4.27E-07,2.61E-06
716,100,1.04E-07,1.94E-07,2.22E-06
717,0,1.16E-06,4.21E-06,7.92E-05
717,2.5,1.21E-06,2.57E-06,6.91E-05
717,5,1.39E-06,2.58E-06,5.70E-05
717,7.5,1.98E-06,1.83E-06,4.73E-05
717,10,1.21E-06,1.04E-06,3.82E-05
717,12.5,1.58E-06,1.77E-06,3.30E-05
717,15,1.48E-06,9.02E-07,2.80E-05
717,17.5,7.93E-07,2.60E-06,2.49E-05
717,20,1.44E-06,2.50E-06,2.15E-05
717,25,1.99E-07,1.96E-06,1.80E-05
717,30,-8.04E-09,1.42E-06,1.46E-05
717,35,-2.15E-07,1.17E-06,1.11E-05
717,40,-4.22E-07,9.20E-07,1.02E-05
717,45,-6.35E-07,6.69E-07,9.31E-06
717,50,-8.48E-07,5.86E-07,8.43E-06
717,60,-1.06E-06,5.02E-07,6.99E-06
717,70,-1.76E-06,4.19E-07,5.55E-06
717,80,-2.45E-06,6.08E-08,4.11E-06
717,90,-3.15E-06,-2.98E-07,3.06E-06
717,100,-1.06E-06,-6.56E-07,2.01E-06
719,0,3.25E-06,6.39E-06,4.94E-05
719,2.5,2.80E-06,4.26E-06,4.06E-05
719,5,2.83E-06,3.39E-06,3.14E-05
719,7.5,2.60E-06,4.07E-06,2.62E-05
719,10,1.83E-06,2.64E-06,2.25E-05
719,12.5,2.17E-06,2.55E-06,2.03E-05
719,15,2.15E-06,2.09E-06,1.84E-05
719,17.5,1.81E-06,2.36E-06,1.70E-05
719,20,2.35E-06,2.05E-06,1.59E-05
719,25,1.99E-06,1.70E-06,1.43E-05
719,30,1.59E-06,1.35E-06,1.26E-05
719,35,1.19E-06,1.28E-06,1.10E-05
719,40,7.94E-07,1.20E-06,9.59E-06
719,45,3.15E-07,1.13E-06,8.19E-06
719,50,-1.65E-07,1.21E-06,6.79E-06
719,60,-6.45E-07,1.30E-06,5.73E-06
719,70,-1.59E-06,1.38E-06,4.67E-06
719,80,-2.54E-06,1.36E-06,3.61E-06
719,90,-3.48E-06,1.34E-06,2.49E-06
719,100,2.00E-06,1.32E-06,1.38E-06
720,0,-5.13E-07,8.25E-06,3.87E-05
720,2.5,-4.95E-07,7.19E-06,3.05E-05
720,5,3.10E-07,6.54E-06,2.17E-05
720,7.5,1.03E-06,6.31E-06,1.63E-05
720,10,1.54E-06,6.24E-06,1.23E-05
720,12.5,2.62E-06,6.40E-06,9.58E-06
720,15,2.61E-06,6.57E-06,8.41E-06
720,17.5,2.88E-06,6.74E-06,7.25E-06
720,20,3.15E-06,5.84E-06,6.08E-06
720,25,3.42E-06,4.93E-06,4.86E-06
720,30,3.14E-06,4.03E-06,3.64E-06
720,35,2.86E-06,3.59E-06,2.42E-06
720,40,2.58E-06,3.15E-06,1.95E-06
720,45,2.47E-06,2.71E-06,1.47E-06
720,50,2.35E-06,2.55E-06,9.92E-07
720,60,2.24E-06,2.39E-06,5.36E-07
720,70,2.01E-06,2.24E-06,8.04E-08
720,80,1.77E-06,1.61E-06,-3.75E-07
720,90,1.54E-06,9.75E-07,-1.64E-06
720,100,3.31E-06,3.44E-07,-2.90E-06
722,0,-4.72E-05,-3.43E-05,0.00011879
722,2.5,-1.47E-05,-1.01E-05,8.64E-05
722,5,1.79E-06,-1.33E-06,5.64E-05
722,7.5,6.06E-06,1.85E-06,4.13E-05
722,10,6.00E-06,8.87E-07,3.17E-05
722,12.5,6.13E-06,1.34E-06,2.55E-05
